sim_scenario,num_reps,pop_size_1,pop_size_2,mig_rate_1,mig_rate_2,prop_sampled,err_var,err_diag,miss_var,miss_diag
small_cyclone_WF,5,120,120,0,0,0.5,0.01,0.004,0.25,0.25
small_cyclone_WF,5,120,120,0,0,0.5,0.01,0.004,0.5,0.5
small_cyclone_WF,5,120,120,0.02,0.02,0.5,0.01,0.004,0.25,0.25
small_cyclone_WF,5,120,120,0.02,0.02,0.5,0.01,0.004,0.5,0.5
small_cyclone_WF,5,120,120,0.05,0.05,0.5,0.01,0.004,0.25,0.25
small_cyclone_WF,5,120,120,0.05,0.05,0.5,0.01,0.004,0.5,0.5
small_cyclone_WF,5,120,120,0.1,0.1,0.5,0.01,0.004,0.25,0.25
small_cyclone_WF,5,120,120,0.1,0.1,0.5,0.01,0.004,0.5,0.5
small_cyclone_nonWF,5,120,120,0,0,0.5,0.01,0.004,0.25,0.25
small_cyclone_nonWF,5,120,120,0,0,0.5,0.01,0.004,0.5,0.5
small_cyclone_nonWF,5,120,120,0.02,0.02,0.5,0.01,0.004,0.25,0.25
small_cyclone_nonWF,5,120,120,0.02,0.02,0.5,0.01,0.004,0.5,0.5
small_cyclone_nonWF,5,120,120,0.05,0.05,0.5,0.01,0.004,0.25,0.25
small_cyclone_nonWF,5,120,120,0.05,0.05,0.5,0.01,0.004,0.5,0.5
small_cyclone_nonWF,5,120,120,0.1,0.1,0.5,0.01,0.004,0.25,0.25
small_cyclone_nonWF,5,120,120,0.1,0.1,0.5,0.01,0.004,0.5,0.5
